日期,记录ID,ISBN,书名,价格,历史最高价,最高价日期
2026-09-02,4d6ab156bc574e5b8d67ef7252a36a9b,'9787214205353,土地改革与华北乡村权力变迁:一项政治史的考察,28.20,,
2026-09-02,5115e5511ae341c6b1568209408cfb23,'9787208192294,安史之乱（历史、宣传与神话）,33.30,,
2026-09-02,519e3f68a35c4d9e9c127567379628b0,'9787553824390,浮生六记(全本全注全译全彩插图本)(限量编码绘签版),,,
2026-09-02,52ab5baad7fc4f4fbb1ecc80e900f67e,'9787020160754,哈利·波特与火焰杯(全彩绘本),28.40,,
2026-09-02,52ffc2fc593d4412be44ba7102c30eea,'9787542675217,重读20世纪中国小说,31.10,,
2026-09-02,55ca30f9e6e24c42af7a4eb6f15a9f73,'9787308253123,托尔斯泰或陀思妥耶夫斯基,11.10,,
2026-09-02,5788d4f8310d4ed78f3efd9e9893514b,'9787521777680,AI文明史,4.40,,
2026-09-02,59e8f3a860e440ec8d6a6d72c022dc66,'9787542670564,国家构建,7.40,,
2026-09-02,603e92d798914728ae86176d9c3ead4b,'9787539992761,孤独深处,1.40,,
2026-09-02,60e9f36b4e294a16a0aa9696e975721e,'9787542678584,白先勇典藏集,109.00,,
2026-09-02,641096cc51cd445cbb29189272d332f6,'9787513946391,十一个时区之旅,22.80,,
2026-09-02,64b34c82c18d4c958091cedfc6e84a93,'9787115373557,数学之美 （第二版）,,,
2026-09-02,659fd760d6f24a79b4e93f1d4c8b1123,'9787101170702,西游记（修订本）,27.90,,
2026-09-02,65ca573b1d83409c9999d5f9b7d45e1d,'9787020150427,三国演义（大字本）,24.50,,
2026-09-02,6a231f9377704043bfff7e7bafcc2b4d,'9787563365562,写给孩子的哲学启蒙书·第5卷,1.20,,
2026-09-02,6b0d7c5a6e76464b8b49949dc58f6121,'9787115403650,凤凰项目（一个IT运维的传奇故事）,1.90,,
2026-09-02,6c23cc7861b74adf99086b2c1e74753b,'9787532789900,不朽,16.80,,
2026-09-02,6c548112538443bcbf88c483c38811d1,'9787020158010,复活,23.50,,
2026-09-02,6c8078438da9480381993542601412e4,'9787521217384,主角,15.70,,
2026-09-02,6c9f587e364b4a3a9f3869419c1f8df6,'9787308128780,维特根斯坦传（插图版）（天才之为责任）,32.00,,
2026-09-02,6ca5d16d2d524ce7a562c01e2370ec87,'9787100264259,进化心理学,19.70,,
2026-09-02,6d78e70d46404c62b3f0c23b1e5be35b,'9787532195305,转型时代的阅读与感怀,19.20,,
2026-09-02,6f1bfb3deb894911a364bd47eb1bb759,'9787521720372,香帅金融学讲义,5.80,,
2026-09-02,702a353bb3724e51ab167b76d4e9f80b,'9787522515960,我们去向何方,1.70,,
2026-09-02,708076b423274acfb69f0056507357ca,'9787559895257,黑暗时代的人们（20世纪欧洲流亡知识分子群像）,12.60,,
2026-09-02,70ebee59e58d400ab61df007e60fbef1,'9787511213273,南明史（上下）,29.90,,
2026-09-02,72d80f0730db4955a12e1e8b39838237,'9787549590872,我们的后人类未来（生物科技革命的后果）,7.10,,
2026-09-02,75b602dab160430996b9234d3a55487d,'9787513951302,我们一无所有,5.60,,
2026-09-02,76834add89aa4404b3372ce51c2fac03,'9787533971793,亲历中国考古,,,
2026-09-02,7902c7691a3d46e7ab60c7f559d5307c,'9787020084357,我与地坛,8.50,,
2026-09-02,7c98c7080bef4fc4825b48fcbc5d19ef,'9787544786171,罪与罚,18.10,,
2026-09-02,7d3a03beb2c141fa818b4550567fa296,'9787507543759,佛教世界观,19.60,,
2026-09-02,7f9c39d29a4a421bb98e899c1c642c2d,'9787510886294,当权的第三帝国,32.10,,
2026-09-02,8199516309e641c29b51adba06574852,'9787551831383,道德经（帛书版·全注全译全解）,32.40,,
